organism,experimental_design,de_gene,log_fc,log_cpm,f,p_value,fdr,id,real_differential_expression
1276135,infect48hXinfect144h,MAN_03371,-1.48708740451359,6.5102407444559,11.7871537302236,0.0005971979456,0.003353976788092,,1
1276135,infect48hXinfect144h,MAN_03959,-1.48803923494851,8.15423854331331,22.3006151044614,2.34164593412876E-06,2.36225983008697E-05,,1
1276135,infect48hXinfect144h,MAN_03454,-1.49289440111853,9.10097347314113,27.4872818623106,1.59180046521707E-07,1.97985035911572E-06,,1
1276135,infect48hXinfect144h,MAN_05236,-1.49850640572067,7.67476659641812,19.6181977712898,9.48917946536191E-06,8.46720396913614E-05,,1
1276135,infect48hXinfect144h,MAN_00777,-1.49970405561377,6.36271276988982,11.2300922668401,0.000805790077478,0.004390092414636,,1
1276135,infect48hXinfect144h,MAN_02257,-1.50198767540711,6.99987619295463,15.21223624367,9.62840436144056E-05,0.000676775300361,,1
1276135,infect48hXinfect144h,MAN_04500,-1.50341004832222,14.620594434228,24.7338181526771,6.6175052612216E-07,7.4494410771743E-06,,1
1276135,infect48hXinfect144h,MAN_00480,-1.50355673310352,6.48524972453654,11.9687314822221,0.000541744360228,0.003083287237706,,1
1276135,infect48hXinfect144h,MAN_04955,-1.50692137784563,7.44724375508289,18.2650057628178,1.92786673676539E-05,0.000162632860614,,1
1276135,infect48hXinfect144h,MAN_01277,-1.50710613624223,6.59185455727332,12.6334345080232,0.000379479160483,0.0022699753418,,1
1276135,infect48hXinfect144h,MAN_08244,-1.50729218679398,6.36342726554233,11.3098783701235,0.000771903237271,0.004216733324546,,1
1276135,infect48hXinfect144h,MAN_00115,-1.51040641209266,6.66238037644282,13.2089080247035,0.000279077855507,0.001722950997772,,1
1276135,infect48hXinfect144h,MAN_04877,-1.51126198168632,6.31186654742264,11.0146473883631,0.000905002196091,0.004860514690852,,1
1276135,infect48hXinfect144h,MAN_01412,-1.51171320094939,6.14378045012372,10.1018813591254,0.001482653767638,0.007419816376911,,1
1276135,infect48hXinfect144h,MAN_09860,-1.51238301537403,6.33512027491764,11.1699734227501,0.000832313920988,0.004496170381438,,1
1276135,infect48hXinfect144h,MAN_05061,-1.51244646229516,8.3307207493844,23.9536889855871,9.91827037678483E-07,1.06705105034629E-05,,1
